business_name,plan_name,account_size,price_raw,funded_price,discount_code,trial_type,trustpilot_score,profit_goal,source
Tradeify,$150K Advanced,$150K,$129 per month,N/A,JUNE,Advanced,4.2,"$9,000",Tradeify
Tradeify,$150K Straight to Sim Funded,$150K,$729 one time fee,$729 one time fee,JUNE,Straight to Sim Funded,4.2,"$9,000",Tradeify
Tradeify,$50K Straight to Sim Funded,$50K,$509 one time fee,$509 one time fee,JUNE,Straight to Sim Funded,4.2,"$3,000",Tradeify
Tradeify,$50K Advanced,$50K,$69 per month,N/A,JUNE,Advanced,4.2,"$3,000",Tradeify
Tradeify,$25K Straight to Sim Funded,$25K,$349 one time fee,$349 one time fee,JUNE,Straight to Sim Funded,4.2,"$1,500",Tradeify
Tradeify,$150K Straight to Sim Funded,$150K,$729 one time fee,$729 one time fee,JUNE,Straight to Sim Funded,4.2,"$9,000",Tradeify
Tradeify,$100K Growth,$100K,$249 per month,N/A,JUNE,Growth,4.2,"$6,000",Tradeify
Tradeify,$100K Straight to Sim Funded,$100K,$629 one time fee,$629 one time fee,JUNE,Straight to Sim Funded,4.2,"$6,000",Tradeify
Tradeify,$100K Advanced,$100K,$109 per month,N/A,JUNE,Advanced,4.2,"$6,000",Tradeify
Tradeify,$25K Straight to Sim Funded,$25K,$349 one time fee,$349 one time fee,JUNE,Straight to Sim Funded,4.2,"$1,500",Tradeify
Tradeify,$100K Growth,$100K,$249 per month,N/A,JUNE,Growth,4.2,"$6,000",Tradeify
Tradeify,$50K Straight to Sim Funded,$50K,$509 one time fee,$509 one time fee,JUNE,Straight to Sim Funded,4.2,"$3,000",Tradeify
Tradeify,$100K Advanced,$100K,$109 per month,N/A,JUNE,Advanced,4.2,"$6,000",Tradeify
Tradeify,$50K Advanced,$50K,$69 per month,N/A,JUNE,Advanced,4.2,"$3,000",Tradeify
Tradeify,$100K Straight to Sim Funded,$100K,$629 one time fee,$629 one time fee,JUNE,Straight to Sim Funded,4.2,"$6,000",Tradeify
Tradeify,$50K Growth,$50K,$139 per month,N/A,JUNE,Growth,4.2,"$3,000",Tradeify
Tradeify,$150K Growth,$150K,$339 per month,N/A,JUNE,Growth,4.2,"$9,000",Tradeify
Tradeify,$150K Advanced,$150K,$129 per month,N/A,JUNE,Advanced,4.2,"$9,000",Tradeify
Tradeify,$150K Growth,$150K,$339 per month,N/A,JUNE,Growth,4.2,"$9,000",Tradeify
Tradeify,$50K Growth,$50K,$139 per month,N/A,JUNE,Growth,4.2,"$3,000",Tradeify
Apex Trader Funding,$25K Full Account,$25K,$147/Month,,Contact for codes,Full Account,4.5,"$1,500",Apex Trader Funding
Apex Trader Funding,$50K Full Account,$50K,$167/Month,,Contact for codes,Full Account,4.5,"$3,000",Apex Trader Funding
Apex Trader Funding,$100K Full Account,$100K,$207/Month,,Contact for codes,Full Account,4.5,"$6,000",Apex Trader Funding
Apex Trader Funding,$150K Full Account,$150K,$297/Month,,Contact for codes,Full Account,4.5,"$9,000",Apex Trader Funding
Apex Trader Funding,$250K Full Account,$250K,$399/Month,,Contact for codes,Full Account,4.5,"$15,000",Apex Trader Funding
Apex Trader Funding,$100K Static Account,$100K,$137/Month,,Contact for codes,Static Account,4.5,"$2,000",Apex Trader Funding
My Funded Futures,$50K Starter Plus,$50K,$127/Month,,Contact for codes,Starter Plus,4.3,"$3,000",My Funded Futures
My Funded Futures,$100K Expert,$100K,$267/Month,,Contact for codes,Expert,4.3,"$6,000",My Funded Futures
My Funded Futures,$150K Eval To Live,$150K,$377/Month,,Contact for codes,Eval To Live,4.3,"$9,000",My Funded Futures
My Funded Futures,$25K Starter Plus,$25K,$97/Month,,Contact for codes,Starter Plus,4.3,"$1,500",My Funded Futures
My Funded Futures,$200K Expert,$200K,$497/Month,,Contact for codes,Expert,4.3,"$12,000",My Funded Futures
